Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-IB-AAUO-01A-12D-A38G-08	5.51E-01	7.56E-01	8.29E-01	4.27E-01
TCGA-IB-AAUP-01A-11D-A377-08	2.74E-01	7.70E-01	7.71E-01	4.32E-01
TCGA-IB-AAUQ-01A-22D-A40W-08	3.89E-01	1.32E+00	1.38E+00	6.63E-01
TCGA-IB-AAUR-01A-21D-A38G-08	1.41E-01	6.82E-02	1.19E-01	9.13E-02
TCGA-IB-AAUS-01A-12D-A38G-08	0.00E+00	4.02E-02	5.02E-02	4.51E-02
TCGA-IB-AAUT-01A-11D-A377-08	3.49E-02	3.27E-02	3.86E-02	4.99E-02
TCGA-IB-AAUU-01A-11D-A377-08	4.87E-01	9.50E-01	1.08E+00	4.55E-01
TCGA-IB-AAUW-01A-12D-A38G-08	0.00E+00	2.73E-02	4.69E-02	4.92E-02
TCGA-LB-A7SX-01A-11D-A33T-08	7.83E-01	1.16E+00	2.74E+00	2.26E+00
TCGA-LB-A8F3-01A-11D-A36O-08	1.05E-01	5.83E-01	8.97E-01	9.19E-01
TCGA-LB-A9Q5-01A-11D-A397-08	3.71E-01	3.58E-01	4.38E-01	3.55E-01
TCGA-M8-A5N4-01A-11D-A26I-08	2.50E-01	9.69E-01	1.03E+00	3.26E-01
TCGA-OE-A75W-01A-12D-A32N-08	9.76E-01	1.81E+00	2.08E+00	9.62E-01
TCGA-PZ-A5RE-01A-11D-A32N-08	3.04E-01	6.39E-01	6.16E-01	3.46E-01
TCGA-Q3-A5QY-01A-12D-A32N-08	2.00E-02	9.35E-02	8.89E-02	4.14E-02
TCGA-Q3-AA2A-01A-11D-A377-08	4.38E-01	4.61E-01	5.03E-01	3.59E-01
TCGA-RB-A7B8-01A-12D-A33T-08	4.80E-01	1.08E+00	1.11E+00	5.04E-01
TCGA-RB-AA9M-01A-11D-A397-08	4.01E-01	6.10E-01	6.43E-01	3.19E-01
TCGA-S4-A8RM-01A-11D-A377-08	4.19E-01	8.85E-01	9.72E-01	5.15E-01
TCGA-S4-A8RO-01A-12D-A377-08	5.90E-01	1.47E+00	1.52E+00	4.07E-01
TCGA-S4-A8RP-01A-11D-A36O-08	2.82E-01	7.62E-01	8.95E-01	7.60E-01
TCGA-US-A774-01A-21D-A32N-08	4.77E-01	6.75E-01	6.13E-01	3.25E-01
TCGA-US-A776-01A-13D-A33T-08	7.14E-01	1.34E+00	1.64E+00	9.20E-01
TCGA-US-A779-01A-11D-A32N-08	3.73E-01	6.48E-01	7.20E-01	4.56E-01
TCGA-US-A77E-01A-11D-A32N-08	2.79E-01	1.75E+00	1.78E+00	8.50E-01
TCGA-US-A77G-01A-11D-A32N-08	6.92E-01	7.60E-01	1.03E+00	6.64E-01
TCGA-XD-AAUG-01A-61D-A40W-08	3.01E-01	3.84E-01	4.90E-01	4.23E-01
TCGA-XD-AAUH-01A-42D-A40W-08	3.47E-01	3.00E-01	3.95E-01	3.61E-01
TCGA-XD-AAUI-01A-42D-A40W-08	4.72E-01	8.59E-01	9.38E-01	3.78E-01
TCGA-XD-AAUL-01A-21D-A397-08	3.26E-01	8.11E-01	8.73E-01	5.63E-01
TCGA-XN-A8T3-01A-11D-A36O-08	5.97E-01	9.57E-01	9.50E-01	4.42E-01
TCGA-XN-A8T5-01A-12D-A36O-08	6.37E-02	3.71E-01	4.51E-01	4.04E-01
TCGA-YB-A89D-01A-12D-A36O-08	4.30E-01	5.30E-01	6.15E-01	4.61E-01
TCGA-YH-A8SY-01A-11D-A377-08	5.14E-01	1.50E+00	1.43E+00	6.51E-01
TCGA-YY-A8LH-01A-11D-A36O-08	5.86E-01	1.20E+00	1.39E+00	8.32E-01
TCGA-Z5-AAPL-01A-12D-A40W-08	7.53E-02	2.36E-01	2.66E-01	2.49E-01
