Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-IB-A5SQ-01A-11D-A32N-08	5.70E-01	5.09E-01	6.52E-01	3.71E-01	6.58E-01	6.04E-01	3.54E-01	3.41E-01	2.07E-01	2.98E-01
TCGA-IB-A5SS-01A-11D-A32N-08	3.59E-01	3.45E-01	4.99E-01	4.82E-01	5.07E-01	6.30E-01	4.29E-01	4.25E-01	3.22E-01	2.96E-01
TCGA-IB-A5ST-01A-11D-A32N-08	5.37E-02	1.53E-01	1.68E-01	1.66E-01	1.68E-01	1.96E-01	1.83E-01	1.09E-01	9.30E-02	7.02E-02
TCGA-IB-A6UF-01A-23D-A33T-08	9.73E-02	6.19E-01	1.01E+00	6.12E-01	1.07E+00	1.04E+00	5.38E-01	4.34E-01	2.99E-01	4.55E-01
TCGA-IB-A6UG-01A-32D-A33T-08	4.50E-01	4.60E-01	1.55E+00	5.00E-01	1.66E+00	1.68E+00	7.57E-01	2.16E-01	2.79E-01	2.89E-01
TCGA-IB-A7LX-01A-12D-A36O-08	3.03E-01	3.23E-01	6.07E-01	3.83E-01	3.95E-01	2.58E-01	7.13E-01	6.01E-01	4.13E-01	5.55E-01
TCGA-IB-A7M4-01A-11D-A36O-08	2.87E-01	4.67E-01	8.74E-01	6.19E-01	9.48E-01	1.03E+00	6.61E-01	3.57E-01	4.47E-01	4.12E-01
TCGA-IB-AAUM-01A-11D-A377-08	9.14E-02	1.42E-01	2.41E-01	2.89E-01	3.11E-01	2.55E-01	2.18E-01	3.50E-01	2.14E-01	2.31E-01
TCGA-IB-AAUN-01A-12D-A38G-08	1.51E-01	4.02E-01	5.53E-01	3.70E-01	4.76E-01	4.70E-01	5.27E-01	3.76E-01	4.41E-01	2.68E-01
TCGA-IB-AAUO-01A-12D-A38G-08	5.54E-01	6.19E-01	5.83E-01	4.01E-01	6.06E-01	5.86E-01	4.83E-01	3.43E-01	4.79E-01	2.99E-01
TCGA-IB-AAUP-01A-11D-A377-08	2.13E-01	3.54E-01	6.71E-01	2.76E-01	7.28E-01	7.59E-01	3.09E-01	2.22E-01	2.74E-01	3.15E-01
TCGA-IB-AAUQ-01A-22D-A40W-08	2.46E-01	4.51E-01	1.20E+00	5.19E-01	1.09E+00	1.06E+00	7.42E-01	5.53E-01	4.10E-01	5.15E-01
