Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-IB-AAUS-01A-12D-A38G-08	0.00E+00	4.41E-02	4.02E-02	2.56E-02	4.85E-02	3.02E-02
TCGA-IB-AAUT-01A-11D-A377-08	2.56E-02	4.02E-02	4.16E-02	1.97E-02	3.94E-02	4.51E-02
TCGA-IB-AAUU-01A-11D-A377-08	4.54E-01	8.94E-01	6.38E-01	8.37E-01	3.70E-01	4.00E-01
TCGA-IB-AAUW-01A-12D-A38G-08	0.00E+00	3.38E-02	4.76E-02	1.97E-02	3.68E-02	4.73E-02
TCGA-LB-A7SX-01A-11D-A33T-08	5.76E-01	2.22E+00	1.37E+00	9.86E-01	2.71E+00	2.04E+00
TCGA-LB-A8F3-01A-11D-A36O-08	1.06E-01	7.13E-01	8.80E-01	3.97E-01	8.95E-01	9.80E-01
TCGA-LB-A9Q5-01A-11D-A397-08	3.33E-01	2.98E-01	3.10E-01	3.29E-01	3.68E-01	2.25E-01
TCGA-M8-A5N4-01A-11D-A26I-08	1.83E-01	1.00E+00	5.88E-01	9.00E-01	4.33E-01	2.97E-01
TCGA-OE-A75W-01A-12D-A32N-08	9.15E-01	1.78E+00	1.66E+00	1.63E+00	1.17E+00	9.63E-01
TCGA-PZ-A5RE-01A-11D-A32N-08	2.56E-01	5.75E-01	4.07E-01	5.58E-01	3.92E-01	3.12E-01
TCGA-Q3-A5QY-01A-12D-A32N-08	0.00E+00	5.86E-02	8.23E-02	9.47E-02	6.09E-02	4.47E-02
TCGA-Q3-AA2A-01A-11D-A377-08	4.40E-01	4.06E-01	4.20E-01	4.31E-01	2.47E-01	3.34E-01
TCGA-RB-A7B8-01A-12D-A33T-08	3.92E-01	1.03E+00	7.82E-01	1.03E+00	4.10E-01	4.53E-01
TCGA-RB-AA9M-01A-11D-A397-08	2.48E-01	6.51E-01	4.34E-01	6.31E-01	4.42E-01	3.11E-01
TCGA-S4-A8RM-01A-11D-A377-08	3.87E-01	8.64E-01	7.94E-01	8.77E-01	4.82E-01	5.00E-01
TCGA-S4-A8RO-01A-12D-A377-08	6.04E-01	1.42E+00	7.78E-01	1.30E+00	5.42E-01	3.32E-01
TCGA-S4-A8RP-01A-11D-A36O-08	2.57E-01	6.29E-01	6.73E-01	5.33E-01	8.21E-01	4.48E-01
TCGA-US-A774-01A-21D-A32N-08	3.15E-01	5.64E-01	5.31E-01	5.69E-01	4.32E-01	2.92E-01
TCGA-US-A776-01A-13D-A33T-08	8.73E-01	1.23E+00	1.28E+00	1.33E+00	7.81E-01	7.54E-01
TCGA-US-A779-01A-11D-A32N-08	3.28E-01	6.34E-01	6.45E-01	5.70E-01	3.83E-01	3.93E-01
TCGA-US-A77E-01A-11D-A32N-08	2.90E-01	1.59E+00	1.10E+00	1.64E+00	1.09E+00	6.93E-01
TCGA-US-A77G-01A-11D-A32N-08	4.94E-01	6.73E-01	7.30E-01	6.29E-01	6.04E-01	5.16E-01
TCGA-XD-AAUG-01A-61D-A40W-08	2.68E-01	4.20E-01	3.66E-01	2.64E-01	4.71E-01	3.00E-01
TCGA-XD-AAUH-01A-42D-A40W-08	2.89E-01	3.20E-01	3.18E-01	1.73E-01	3.96E-01	2.82E-01
TCGA-XD-AAUI-01A-42D-A40W-08	3.97E-01	8.19E-01	4.37E-01	7.24E-01	6.41E-01	3.00E-01
TCGA-XD-AAUL-01A-21D-A397-08	2.99E-01	7.17E-01	7.48E-01	7.60E-01	5.67E-01	5.23E-01
TCGA-XN-A8T3-01A-11D-A36O-08	5.28E-01	7.30E-01	8.66E-01	8.25E-01	4.75E-01	3.22E-01
TCGA-XN-A8T5-01A-12D-A36O-08	1.27E-01	3.63E-01	3.22E-01	2.75E-01	3.81E-01	3.06E-01
TCGA-YB-A89D-01A-12D-A36O-08	3.45E-01	6.36E-01	4.65E-01	4.73E-01	4.69E-01	4.09E-01
TCGA-YH-A8SY-01A-11D-A377-08	5.04E-01	1.32E+00	9.84E-01	1.20E+00	7.62E-01	4.96E-01
TCGA-YY-A8LH-01A-11D-A36O-08	5.10E-01	1.08E+00	1.02E+00	1.04E+00	8.48E-01	6.61E-01
TCGA-Z5-AAPL-01A-12D-A40W-08	5.17E-02	2.23E-01	2.59E-01	2.21E-01	1.60E-01	2.29E-01
